2022-10-13 15:32:23,847 INFO    MainThread:24217 [wandb_setup.py:_flush():68] Configure stats pid to 24217
2022-10-13 15:32:23,848 INFO    MainThread:24217 [wandb_setup.py:_flush():68] Loading settings from /Users/zorilolah/.config/wandb/settings
2022-10-13 15:32:23,848 INFO    MainThread:24217 [wandb_setup.py:_flush():68] Loading settings from /Users/zorilolah/Documents/CryptoNewsFeed/wandb/settings
2022-10-13 15:32:23,848 INFO    MainThread:24217 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-10-13 15:32:23,848 INFO    MainThread:24217 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'src/run.py', 'program': '/Users/zorilolah/Documents/CryptoNewsFeed/src/run.py'}
2022-10-13 15:32:23,848 INFO    MainThread:24217 [wandb_init.py:_log_setup():476] Logging user logs to /Users/zorilolah/Documents/CryptoNewsFeed/wandb/run-20221013_153223-2v34j5p7/logs/debug.log
2022-10-13 15:32:23,848 INFO    MainThread:24217 [wandb_init.py:_log_setup():477] Logging internal logs to /Users/zorilolah/Documents/CryptoNewsFeed/wandb/run-20221013_153223-2v34j5p7/logs/debug-internal.log
2022-10-13 15:32:23,848 INFO    MainThread:24217 [wandb_init.py:init():516] calling init triggers
2022-10-13 15:32:23,848 INFO    MainThread:24217 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {'learning_rate': 1e-05, 'weight_decay': 0.01, 'batch_size': 6, 'epochs': 10}
2022-10-13 15:32:23,848 INFO    MainThread:24217 [wandb_init.py:init():569] starting backend
2022-10-13 15:32:23,849 INFO    MainThread:24217 [wandb_init.py:init():573] setting up manager
2022-10-13 15:32:23,853 INFO    MainThread:24217 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2022-10-13 15:32:23,857 INFO    MainThread:24217 [wandb_init.py:init():580] backend started and connected
2022-10-13 15:32:23,862 INFO    MainThread:24217 [wandb_init.py:init():658] updated telemetry
2022-10-13 15:32:23,882 INFO    MainThread:24217 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2022-10-13 15:32:24,228 INFO    MainThread:24217 [wandb_run.py:_on_init():2000] communicating current version
2022-10-13 15:32:24,284 INFO    MainThread:24217 [wandb_run.py:_on_init():2004] got version response 
2022-10-13 15:32:24,284 INFO    MainThread:24217 [wandb_init.py:init():728] starting run threads in backend
2022-10-13 15:32:28,765 INFO    MainThread:24217 [wandb_run.py:_console_start():1980] atexit reg
2022-10-13 15:32:28,765 INFO    MainThread:24217 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-10-13 15:32:28,765 INFO    MainThread:24217 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-10-13 15:32:28,765 INFO    MainThread:24217 [wandb_run.py:_redirect():1925] Redirects installed.
2022-10-13 15:32:28,766 INFO    MainThread:24217 [wandb_init.py:init():765] run started, returning control to user process
2022-10-13 15:32:28,766 INFO    MainThread:24217 [wandb_watch.py:watch():51] Watching
2022-10-13 15:33:23,892 WARNING MsgRouterThr:24217 [router.py:message_loop():77] message_loop has been closed
